tefreqs:, k index, k1, k2, k3, kmag/2pi, te band 1, te band 2, te band 3, te band 4, te band 5, te band 6, te band 7, te band 8, te band 9, te band 10
tefreqs:, 1, 0.666667, 0.333333, 0, 1.01835, 0.272669, 0.468008, 0.520198, 0.613124, 0.640738, 0.642035, 0.779083, 0.785302, 0.854328, 0.871504
tefreqs:, 2, 0.633333, 0.316667, 0, 0.967433, 0.28114, 0.466077, 0.518207, 0.612063, 0.638689, 0.640628, 0.779479, 0.785695, 0.855192, 0.872724
tefreqs:, 3, 0.6, 0.3, 0, 0.916515, 0.293388, 0.464712, 0.51415, 0.609753, 0.635954, 0.638774, 0.780076, 0.786125, 0.856842, 0.874188
tefreqs:, 4, 0.566667, 0.283333, 0, 0.865598, 0.308775, 0.463909, 0.507691, 0.606201, 0.633357, 0.636585, 0.780848, 0.786515, 0.859057, 0.875942
tefreqs:, 5, 0.533333, 0.266667, 0, 0.81468, 0.326603, 0.463262, 0.498742, 0.601936, 0.631348, 0.634286, 0.781758, 0.786809, 0.861486, 0.878113
tefreqs:, 6, 0.5, 0.25, 0, 0.763763, 0.346165, 0.461016, 0.488631, 0.597885, 0.629964, 0.63211, 0.782742, 0.78698, 0.863696, 0.880838
tefreqs:, 7, 0.466667, 0.233333, 0, 0.712845, 0.366747, 0.45215, 0.482263, 0.594884, 0.629029, 0.630321, 0.783712, 0.78702, 0.865327, 0.884035
tefreqs:, 8, 0.433333, 0.216667, 0, 0.661928, 0.387514, 0.434424, 0.48222, 0.59341, 0.628267, 0.629303, 0.784556, 0.786932, 0.866228, 0.886993
tefreqs:, 9, 0.4, 0.2, 0, 0.61101, 0.404017, 0.414976, 0.485509, 0.593627, 0.627782, 0.629147, 0.78514, 0.786734, 0.86642, 0.887898
tefreqs:, 10, 0.366667, 0.183333, 0, 0.560093, 0.382351, 0.429019, 0.490523, 0.595523, 0.628085, 0.629659, 0.78531, 0.786459, 0.865968, 0.885491
tefreqs:, 11, 0.333333, 0.166667, 0, 0.509175, 0.353062, 0.446014, 0.496879, 0.598941, 0.629395, 0.631098, 0.784967, 0.786089, 0.86492, 0.881158
tefreqs:, 12, 0.3, 0.15, 0, 0.458258, 0.321678, 0.460028, 0.504523, 0.603499, 0.631721, 0.634161, 0.784173, 0.785441, 0.863302, 0.87603
tefreqs:, 13, 0.266667, 0.133333, 0, 0.40734, 0.288786, 0.470405, 0.513098, 0.608454, 0.635552, 0.639342, 0.782963, 0.784347, 0.861128, 0.870477
tefreqs:, 14, 0.233333, 0.116667, 0, 0.356423, 0.254731, 0.477531, 0.521615, 0.612785, 0.641841, 0.646691, 0.781268, 0.782717, 0.858427, 0.864674
tefreqs:, 15, 0.2, 0.1, 0, 0.305505, 0.219768, 0.482305, 0.529014, 0.615872, 0.650954, 0.656029, 0.778951, 0.780479, 0.85526, 0.858807
tefreqs:, 16, 0.166667, 0.0833333, 0, 0.254588, 0.184097, 0.485513, 0.534775, 0.617851, 0.662242, 0.666965, 0.77585, 0.777546, 0.851684, 0.85319
tefreqs:, 17, 0.133333, 0.0666667, 0, 0.20367, 0.147879, 0.487675, 0.538917, 0.619104, 0.674587, 0.678954, 0.771823, 0.773822, 0.847337, 0.848713
tefreqs:, 18, 0.1, 0.05, 0, 0.152753, 0.111249, 0.489114, 0.541712, 0.619908, 0.686834, 0.691311, 0.766816, 0.769304, 0.84289, 0.845346
tefreqs:, 19, 0.0666667, 0.0333333, 0, 0.101835, 0.0743237, 0.490025, 0.543466, 0.620411, 0.697807, 0.703054, 0.761043, 0.764326, 0.839398, 0.842698
tefreqs:, 20, 0.0333333, 0.0166667, 0, 0.0509175, 0.0372086, 0.490528, 0.544421, 0.620688, 0.705958, 0.712489, 0.755499, 0.759941, 0.837197, 0.840987
tefreqs:, 21, 0, 0, 0, 0, 0, 0.490686, 0.544721, 0.620773, 0.709107, 0.716451, 0.752886, 0.758076, 0.836452, 0.8404
tefreqs:, 22, 0, 0.025, 0, 0.0288675, 0.021081, 0.490636, 0.544624, 0.620748, 0.708053, 0.715151, 0.753744, 0.758723, 0.836677, 0.840599
tefreqs:, 23, 0, 0.05, 0, 0.057735, 0.042145, 0.490479, 0.544326, 0.620664, 0.705052, 0.711598, 0.756001, 0.760504, 0.837355, 0.841194
tefreqs:, 24, 0, 0.075, 0, 0.0866025, 0.0631751, 0.490209, 0.543811, 0.620519, 0.700513, 0.706511, 0.759007, 0.763013, 0.83847, 0.842166
tefreqs:, 25, 0, 0.1, 0, 0.11547, 0.0841536, 0.489815, 0.543054, 0.620307, 0.694861, 0.700499, 0.762261, 0.765841, 0.839993, 0.843485
tefreqs:, 26, 0, 0.125, 0, 0.144338, 0.105063, 0.48928, 0.542021, 0.620019, 0.688444, 0.693977, 0.765479, 0.768687, 0.841878, 0.84511
tefreqs:, 27, 0, 0.15, 0, 0.173205, 0.125883, 0.488577, 0.540666, 0.619643, 0.68154, 0.68722, 0.768515, 0.771368, 0.844056, 0.847012
tefreqs:, 28, 0, 0.175, 0, 0.202073, 0.146596, 0.487665, 0.53894, 0.619159, 0.674393, 0.680422, 0.771305, 0.773791, 0.846418, 0.84918
tefreqs:, 29, 0, 0.2, 0, 0.23094, 0.167179, 0.486481, 0.536795, 0.618544, 0.667241, 0.67372, 0.773823, 0.775924, 0.84881, 0.851649
tefreqs:, 30, 0, 0.225, 0, 0.259808, 0.187609, 0.484933, 0.534195, 0.617764, 0.660325, 0.667223, 0.776065, 0.77777, 0.851082, 0.854448
tefreqs:, 31, 0, 0.25, 0, 0.288675, 0.207862, 0.482884, 0.531142, 0.616783, 0.653887, 0.661021, 0.778039, 0.779352, 0.853167, 0.85753
tefreqs:, 32, 0, 0.275, 0, 0.317543, 0.22791, 0.480137, 0.527701, 0.615568, 0.648152, 0.65519, 0.779748, 0.78071, 0.855058, 0.860798
tefreqs:, 33, 0, 0.3, 0, 0.34641, 0.247722, 0.47643, 0.524028, 0.61411, 0.643292, 0.649798, 0.781179, 0.781904, 0.856758, 0.864157
tefreqs:, 34, 0, 0.325, 0, 0.375278, 0.267263, 0.471455, 0.520366, 0.612453, 0.639383, 0.644908, 0.782301, 0.783011, 0.858264, 0.867527
tefreqs:, 35, 0, 0.35, 0, 0.404145, 0.286494, 0.464925, 0.516994, 0.610699, 0.636386, 0.640575, 0.783141, 0.784037, 0.85957, 0.870836
tefreqs:, 36, 0, 0.375, 0, 0.433013, 0.305367, 0.456669, 0.51413, 0.608992, 0.634157, 0.636859, 0.78378, 0.784936, 0.860676, 0.874009
tefreqs:, 37, 0, 0.4, 0, 0.46188, 0.323827, 0.446685, 0.511873, 0.607465, 0.632463, 0.633871, 0.784268, 0.78568, 0.861579, 0.876964
tefreqs:, 38, 0, 0.425, 0, 0.490748, 0.341806, 0.435109, 0.510215, 0.606216, 0.630809, 0.631993, 0.784629, 0.786262, 0.86228, 0.879593
tefreqs:, 39, 0, 0.45, 0, 0.519615, 0.359208, 0.422159, 0.509098, 0.605301, 0.629211, 0.631122, 0.784879, 0.786679, 0.862779, 0.881744
tefreqs:, 40, 0, 0.475, 0, 0.548483, 0.375834, 0.408149, 0.508458, 0.604746, 0.628181, 0.63069, 0.785026, 0.78693, 0.863079, 0.883202
tefreqs:, 41, 0, 0.5, 0, 0.57735, 0.388619, 0.396225, 0.50825, 0.604559, 0.627832, 0.630556, 0.785076, 0.787014, 0.863179, 0.88373
